section_id,first_type,HVC,surround,log2_enrich
OR52YW26_2_7,Glut-NC/Glut-Nido,0.0045045045045045045,0.009852216748768473,-1.1119719914220327
OR52YW26_2_7,Glut-NR-1,0.0045045045045045045,0.027093596059113302,-2.5621491249262354
OR52YW26_2_7,Glut-Pre-2,0.04954954954954955,0.05763546798029557,-0.2176772369988555
OR52YW26_2_7,Glut-Pre-3,0.009009009009009009,0.03596059113300493,-1.9850570333183493
OR52YW26_2_7,Micro,0.036036036036036036,0.03842364532019704,-0.09230596782621453
OR52YW26_2_7,OPC,0.02252252252252252,0.046798029556650245,-1.0517675025958388
OR52YW26_2_7,Oligo-1,0.0045045045045045045,0.001477832512315271,1.5451018440605961
OR52YW26_2_7,Oligo-2,0.013513513513513514,0.012315270935960592,0.13292371475250978
OR52YW26_2_7,Oligo-3,0.0045045045045045045,0.0019704433497536944,1.1531061856833058
OR52YW26_2_7,Epen,0,0.013793103448275862,-7.118225095021026
OR52YW26_2_7,GABA-1-2,0,0.019704433497536946,-7.629679623560392
OR52YW26_2_7,GABA-2-1,0,0.002955665024630542,-4.933414492386578
OR52YW26_2_7,GABA-2-2,0,0.010344827586206896,-6.7066448676678
OR52YW26_2_7,GABA-4-1,0,0.008374384236453201,-6.4050366382054404
OR52YW26_2_7,GABA-5-2,0,0.004433497536945813,-5.502552595995472
OR52YW26_2_7,GABA-7,0,0.004433497536945813,-5.502552595995472
OR52YW26_2_7,GABA-Pre,0,4.926108374384236e-4,-2.5670850099909
OR52YW26_2_7,Glut-Arco-4,0,4.926108374384236e-4,-2.5670850099909
OR52YW26_2_7,Glut-NC-1,0,0.007881773399014778,-6.31863741648797
OR52YW26_2_7,Glut-NC-3,0,0.00541871921182266,-5.786261579073215
OR52YW26_2_7,Glut-NR-2,0,9.852216748768472e-4,-3.4399178625157067
OR52YW26_2_7,Glut-NR-3,0,0.011330049261083743,-6.836687811049607
OR52YW26_2_7,Glut-Pre-1,0,0.007881773399014778,-6.31863741648797
OR69PU4_1_7,Astro-1,0.048109965635738834,0.00202122283981809,4.506363308674438
OR69PU4_1_7,Astro-2,0.16666666666666666,0.3683678625568469,-1.143707842604395
OR69PU4_1_7,Astro-3,0.04982817869415808,0.023244062657908033,1.0967986195362491
OR69PU4_1_7,Endo,0.30584192439862545,0.20111167256189996,0.6045438182271915
OR69PU4_1_7,Epen,0.005154639175257732,0.08590197069226882,-4.032706112887361
OR69PU4_1_7,GABA-1-1,0.015463917525773196,0.029307731177362305,-0.9179902432949617
OR69PU4_1_7,GABA-2-2,0.005154639175257732,0.00404244567963618,0.34310892148514255
OR69PU4_1_7,GABA-2-3,0.015463917525773196,0.004547751389590703,1.7436004350251604
OR69PU4_1_7,GABA-3,0.001718213058419244,0.0055583628094997475,-1.6378634194899129
OR69PU4_1_7,GABA-4-2,0.012027491408934709,0,6.922137347308554
OR69PU4_1_7,GABA-5-1,0.001718213058419244,0.0025265285497726125,-0.5306360017356875
OR69PU4_1_7,GABA-5-2,0.005154639175257732,0.006568974229408792,-0.3438731733300007
OR69PU4_1_7,GABA-6,0.005154639175257732,0.007074279939363315,-0.4492423393142418
OR69PU4_1_7,GABA-7,0.001718213058419244,0.005053057099545225,-1.502907314057074
OR69PU4_1_7,GABA-8,0.006872852233676976,0.0035371399696816574,0.9389444621045836
